# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-05-03 19:01:37 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01349705 SCHOHARIE CREEK NEAR LEXINGTON NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 01349705
#            TS   parameter     statistic     Description
#        105023       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105023_00060_00003	105023_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01349705	2011-12-31	280	A
USGS	01349705	2012-01-01	258	A
USGS	01349705	2012-01-02	262	A
USGS	01349705	2012-01-03	189	A
USGS	01349705	2012-01-04	122	A
USGS	01349705	2012-01-05	180	A:e
USGS	01349705	2012-01-06	160	A:e
USGS	01349705	2012-01-07	156	A
USGS	01349705	2012-01-08	143	A
USGS	01349705	2012-01-09	122	A
USGS	01349705	2012-01-10	107	A
USGS	01349705	2012-01-11	102	A
USGS	01349705	2012-01-12	136	A
USGS	01349705	2012-01-13	224	A
USGS	01349705	2012-01-14	183	A
USGS	01349705	2012-01-15	89.6	A:e
USGS	01349705	2012-01-16	85.1	A:e
USGS	01349705	2012-01-17	132	A:e
USGS	01349705	2012-01-18	218	A
USGS	01349705	2012-01-19	140	A:e
USGS	01349705	2012-01-20	110	A:e
USGS	01349705	2012-01-21	100	A:e
USGS	01349705	2012-01-22	90.0	A:e
USGS	01349705	2012-01-23	130	A:e
USGS	01349705	2012-01-24	390	A:e
USGS	01349705	2012-01-25	258	A
USGS	01349705	2012-01-26	195	A
USGS	01349705	2012-01-27	830	A
USGS	01349705	2012-01-28	570	A
USGS	01349705	2012-01-29	354	A
USGS	01349705	2012-01-30	271	A
USGS	01349705	2012-01-31	237	A
USGS	01349705	2012-02-01	252	A
USGS	01349705	2012-02-02	255	A
USGS	01349705	2012-02-03	203	A
USGS	01349705	2012-02-04	188	A
USGS	01349705	2012-02-05	163	A
USGS	01349705	2012-02-06	146	A
USGS	01349705	2012-02-07	141	A
USGS	01349705	2012-02-08	121	A
USGS	01349705	2012-02-09	114	A
USGS	01349705	2012-02-10	103	A
USGS	01349705	2012-02-11	103	A
USGS	01349705	2012-02-12	66.7	A
USGS	01349705	2012-02-13	88.8	A
USGS	01349705	2012-02-14	84.5	A
USGS	01349705	2012-02-15	77.2	A
USGS	01349705	2012-02-16	75.5	A
USGS	01349705	2012-02-17	76.0	A
USGS	01349705	2012-02-18	72.3	A
USGS	01349705	2012-02-19	67.8	A
USGS	01349705	2012-02-20	60.3	A
USGS	01349705	2012-02-21	51.4	A
USGS	01349705	2012-02-22	57.8	A
USGS	01349705	2012-02-23	59.4	A
USGS	01349705	2012-02-24	60.1	A
USGS	01349705	2012-02-25	63.7	A
USGS	01349705	2012-02-26	49.9	A
USGS	01349705	2012-02-27	57.7	A
USGS	01349705	2012-02-28	58.0	A
USGS	01349705	2012-02-29	51.3	A
USGS	01349705	2012-03-01	61.9	A
USGS	01349705	2012-03-02	59.2	A
USGS	01349705	2012-03-03	86.7	A
USGS	01349705	2012-03-04	131	A
USGS	01349705	2012-03-05	82.4	A
USGS	01349705	2012-03-06	67.1	A
USGS	01349705	2012-03-07	83.2	A
USGS	01349705	2012-03-08	252	A
USGS	01349705	2012-03-09	491	A
USGS	01349705	2012-03-10	256	A
USGS	01349705	2012-03-11	202	A
USGS	01349705	2012-03-12	195	A
USGS	01349705	2012-03-13	247	A
USGS	01349705	2012-03-14	297	A
USGS	01349705	2012-03-15	251	A
USGS	01349705	2012-03-16	239	A
USGS	01349705	2012-03-17	251	A
USGS	01349705	2012-03-18	234	A
USGS	01349705	2012-03-19	227	A
USGS	01349705	2012-03-20	224	A
USGS	01349705	2012-03-21	204	A
USGS	01349705	2012-03-22	190	A
USGS	01349705	2012-03-23	174	A
USGS	01349705	2012-03-24	156	A
USGS	01349705	2012-03-25	142	A
USGS	01349705	2012-03-26	128	A
USGS	01349705	2012-03-27	107	A
USGS	01349705	2012-03-28	105	A
USGS	01349705	2012-03-29	113	A
USGS	01349705	2012-03-30	97.3	A
USGS	01349705	2012-03-31	96.7	A
USGS	01349705	2012-04-01	101	A
USGS	01349705	2012-04-02	121	A
USGS	01349705	2012-04-03	98.7	A
USGS	01349705	2012-04-04	87.1	A
USGS	01349705	2012-04-05	78.7	A
USGS	01349705	2012-04-06	71.5	A
USGS	01349705	2012-04-07	66.6	A
USGS	01349705	2012-04-08	62.1	A
USGS	01349705	2012-04-09	60.5	A
USGS	01349705	2012-04-10	56.7	A
USGS	01349705	2012-04-11	54.8	A
USGS	01349705	2012-04-12	54.5	A
USGS	01349705	2012-04-13	54.7	A
USGS	01349705	2012-04-14	50.5	A
USGS	01349705	2012-04-15	52.7	A
USGS	01349705	2012-04-16	52.7	A
USGS	01349705	2012-04-17	47.1	A
USGS	01349705	2012-04-18	43.4	A
USGS	01349705	2012-04-19	41.9	A
USGS	01349705	2012-04-20	41.1	A
USGS	01349705	2012-04-21	48.0	A
USGS	01349705	2012-04-22	406	A
USGS	01349705	2012-04-23	3130	A
USGS	01349705	2012-04-24	785	A
USGS	01349705	2012-04-25	474	A
USGS	01349705	2012-04-26	351	A
USGS	01349705	2012-04-27	291	A
USGS	01349705	2012-04-28	244	A
USGS	01349705	2012-04-29	213	A
USGS	01349705	2012-04-30	185	A
USGS	01349705	2012-05-01	180	A
USGS	01349705	2012-05-02	171	A
USGS	01349705	2012-05-03	154	A
USGS	01349705	2012-05-04	152	A
USGS	01349705	2012-05-05	138	A
