# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-08 17:55:31 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01347000 MOHAWK RIVER NEAR LITTLE FALLS NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 01347000
#            TS   parameter     statistic     Description
#        105012       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105012_00060_00003	105012_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01347000	2011-01-01	2120	A
USGS	01347000	2011-01-02	3170	A
USGS	01347000	2011-01-03	2990	A
USGS	01347000	2011-01-04	2510	A
USGS	01347000	2011-01-05	2370	A
USGS	01347000	2011-01-06	2230	A
USGS	01347000	2011-01-07	2180	A
USGS	01347000	2011-01-08	2090	A
USGS	01347000	2011-01-09	2030	A
USGS	01347000	2011-01-10	2330	A
USGS	01347000	2011-01-11	2220	A
USGS	01347000	2011-01-12	1910	A
USGS	01347000	2011-01-13	2030	A
USGS	01347000	2011-01-14	1880	A
USGS	01347000	2011-01-15	1780	A:e
USGS	01347000	2011-01-16	1670	A:e
USGS	01347000	2011-01-17	1520	A:e
USGS	01347000	2011-01-18	1630	A:e
USGS	01347000	2011-01-19	1720	A:e
USGS	01347000	2011-01-20	1920	A
USGS	01347000	2011-01-21	1790	A
USGS	01347000	2011-01-22	1720	A
USGS	01347000	2011-01-23	1620	A:e
USGS	01347000	2011-01-24	1620	A:e
USGS	01347000	2011-01-25	1490	A:e
USGS	01347000	2011-01-26	1640	A:e
USGS	01347000	2011-01-27	1800	A
USGS	01347000	2011-01-28	1700	A
USGS	01347000	2011-01-29	1750	A
USGS	01347000	2011-01-30	1680	A
USGS	01347000	2011-01-31	1690	A
USGS	01347000	2011-02-01	1650	A
USGS	01347000	2011-02-02	1720	A:e
USGS	01347000	2011-02-03	1690	A:e
USGS	01347000	2011-02-04	1530	A:e
USGS	01347000	2011-02-05	1670	A
USGS	01347000	2011-02-06	1670	A
USGS	01347000	2011-02-07	1810	A
USGS	01347000	2011-02-08	1780	A
USGS	01347000	2011-02-09	1670	A
USGS	01347000	2011-02-10	1770	A
USGS	01347000	2011-02-11	1630	A
USGS	01347000	2011-02-12	1740	A
USGS	01347000	2011-02-13	1560	A
USGS	01347000	2011-02-14	1600	A
USGS	01347000	2011-02-15	1900	A
USGS	01347000	2011-02-16	2100	A:e
USGS	01347000	2011-02-17	1970	A:e
USGS	01347000	2011-02-18	2210	A:e
USGS	01347000	2011-02-19	2970	A:e
USGS	01347000	2011-02-20	3560	A:e
USGS	01347000	2011-02-21	3160	A:e
USGS	01347000	2011-02-22	2820	A:e
USGS	01347000	2011-02-23	2430	A
USGS	01347000	2011-02-24	2310	A
USGS	01347000	2011-02-25	2070	A
USGS	01347000	2011-02-26	1970	A
USGS	01347000	2011-02-27	1900	A
USGS	01347000	2011-02-28	2070	A
USGS	01347000	2011-03-01	3590	A
USGS	01347000	2011-03-02	3470	A
USGS	01347000	2011-03-03	2760	A
USGS	01347000	2011-03-04	2470	A
USGS	01347000	2011-03-05	2360	A
USGS	01347000	2011-03-06	7560	A
USGS	01347000	2011-03-07	8620	A
USGS	01347000	2011-03-08	7630	A
USGS	01347000	2011-03-09	5680	A
USGS	01347000	2011-03-10	4390	A
USGS	01347000	2011-03-11	10500	A
USGS	01347000	2011-03-12	11500	A
USGS	01347000	2011-03-13	10400	A
USGS	01347000	2011-03-14	8920	A
USGS	01347000	2011-03-15	6750	A
USGS	01347000	2011-03-16	6210	A
USGS	01347000	2011-03-17	7640	A
USGS	01347000	2011-03-18	12600	A
USGS	01347000	2011-03-19	11900	A
USGS	01347000	2011-03-20	9370	A
USGS	01347000	2011-03-21	7560	A
USGS	01347000	2011-03-22	7040	A
USGS	01347000	2011-03-23	6290	A
USGS	01347000	2011-03-24	5230	A
USGS	01347000	2011-03-25	4630	A
USGS	01347000	2011-03-26	3990	A
USGS	01347000	2011-03-27	3590	A
USGS	01347000	2011-03-28	3140	A
USGS	01347000	2011-03-29	3180	A
USGS	01347000	2011-03-30	3270	A
USGS	01347000	2011-03-31	3530	A
USGS	01347000	2011-04-01	3440	A
USGS	01347000	2011-04-02	3730	A
USGS	01347000	2011-04-03	3930	A
USGS	01347000	2011-04-04	5500	A
USGS	01347000	2011-04-05	8840	A
USGS	01347000	2011-04-06	8020	A
USGS	01347000	2011-04-07	7160	A
USGS	01347000	2011-04-08	5840	A
USGS	01347000	2011-04-09	4640	A
USGS	01347000	2011-04-10	4320	A
USGS	01347000	2011-04-11	4370	A
USGS	01347000	2011-04-12	4670	A
USGS	01347000	2011-04-13	5890	A
USGS	01347000	2011-04-14	9420	A
USGS	01347000	2011-04-15	8850	A
USGS	01347000	2011-04-16	7210	A
USGS	01347000	2011-04-17	8980	A
USGS	01347000	2011-04-18	10400	A
USGS	01347000	2011-04-19	9210	A
USGS	01347000	2011-04-20	8330	A
USGS	01347000	2011-04-21	9490	A
USGS	01347000	2011-04-22	8780	A
USGS	01347000	2011-04-23	9140	A
USGS	01347000	2011-04-24	9830	A
USGS	01347000	2011-04-25	9470	A
USGS	01347000	2011-04-26	12200	A
USGS	01347000	2011-04-27	18100	A
USGS	01347000	2011-04-28	23400	A
USGS	01347000	2011-04-29	28000	A
USGS	01347000	2011-04-30	18600	A
USGS	01347000	2011-05-01	11700	A
USGS	01347000	2011-05-02	7540	A
USGS	01347000	2011-05-03	5490	A
USGS	01347000	2011-05-04	9820	A
USGS	01347000	2011-05-05	10100	A
USGS	01347000	2011-05-06	8640	A
USGS	01347000	2011-05-07	5940	A
USGS	01347000	2011-05-08	4670	A
USGS	01347000	2011-05-09	3850	A
USGS	01347000	2011-05-10	2480	A
USGS	01347000	2011-05-11	2250	A
USGS	01347000	2011-05-12	2660	A
USGS	01347000	2011-05-13	2530	A
USGS	01347000	2011-05-14	2310	A
USGS	01347000	2011-05-15	2420	A
USGS	01347000	2011-05-16	4150	A
USGS	01347000	2011-05-17	4650	A
USGS	01347000	2011-05-18	4370	A
USGS	01347000	2011-05-19	4290	A
USGS	01347000	2011-05-20	5460	A
USGS	01347000	2011-05-21	6760	A
USGS	01347000	2011-05-22	6430	A
USGS	01347000	2011-05-23	5170	A
USGS	01347000	2011-05-24	4590	A
USGS	01347000	2011-05-25	3980	A
USGS	01347000	2011-05-26	3390	A
USGS	01347000	2011-05-27	4120	A
USGS	01347000	2011-05-28	5270	A
USGS	01347000	2011-05-29	5320	A
USGS	01347000	2011-05-30	4280	A
USGS	01347000	2011-05-31	3420	A
USGS	01347000	2011-06-01	2990	A
USGS	01347000	2011-06-02	2640	A
USGS	01347000	2011-06-03	2430	A
USGS	01347000	2011-06-04	1600	A
USGS	01347000	2011-06-05	1490	A
USGS	01347000	2011-06-06	1480	A
USGS	01347000	2011-06-07	1440	A
USGS	01347000	2011-06-08	1440	A
USGS	01347000	2011-06-09	1400	A
USGS	01347000	2011-06-10	1340	A
USGS	01347000	2011-06-11	1510	A
USGS	01347000	2011-06-12	1760	A
USGS	01347000	2011-06-13	1740	A
USGS	01347000	2011-06-14	1650	A
USGS	01347000	2011-06-15	1530	A
USGS	01347000	2011-06-16	1370	A
USGS	01347000	2011-06-17	1300	A
USGS	01347000	2011-06-18	1280	A
USGS	01347000	2011-06-19	1140	A
USGS	01347000	2011-06-20	1170	A
USGS	01347000	2011-06-21	1050	A
USGS	01347000	2011-06-22	1580	A
USGS	01347000	2011-06-23	2780	A
USGS	01347000	2011-06-24	3940	A
USGS	01347000	2011-06-25	7780	A
USGS	01347000	2011-06-26	5650	A
USGS	01347000	2011-06-27	5620	A
USGS	01347000	2011-06-28	3970	A
USGS	01347000	2011-06-29	4820	A
USGS	01347000	2011-06-30	5060	A
USGS	01347000	2011-07-01	3700	A
USGS	01347000	2011-07-02	2530	A
USGS	01347000	2011-07-03	1960	A
USGS	01347000	2011-07-04	1660	A
USGS	01347000	2011-07-05	1310	A
USGS	01347000	2011-07-06	1330	A
USGS	01347000	2011-07-07	1370	A
USGS	01347000	2011-07-08	1250	A
USGS	01347000	2011-07-09	1450	A
USGS	01347000	2011-07-10	1200	A
USGS	01347000	2011-07-11	1200	A
USGS	01347000	2011-07-12	1100	A
USGS	01347000	2011-07-13	1250	A
USGS	01347000	2011-07-14	1240	A
USGS	01347000	2011-07-15	1160	A
USGS	01347000	2011-07-16	1160	A
USGS	01347000	2011-07-17	1160	A
USGS	01347000	2011-07-18	1270	A
USGS	01347000	2011-07-19	1380	A
USGS	01347000	2011-07-20	1200	A
USGS	01347000	2011-07-21	1120	A
USGS	01347000	2011-07-22	1100	A
USGS	01347000	2011-07-23	1090	A
USGS	01347000	2011-07-24	989	A
USGS	01347000	2011-07-25	914	A
USGS	01347000	2011-07-26	1220	A
USGS	01347000	2011-07-27	1380	A
USGS	01347000	2011-07-28	1140	A
USGS	01347000	2011-07-29	917	A
USGS	01347000	2011-07-30	1380	A
USGS	01347000	2011-07-31	1210	A
USGS	01347000	2011-08-01	961	A
USGS	01347000	2011-08-02	1040	A
USGS	01347000	2011-08-03	1000	A
USGS	01347000	2011-08-04	1070	A
USGS	01347000	2011-08-05	1020	A
USGS	01347000	2011-08-06	1020	A
USGS	01347000	2011-08-07	1220	A
USGS	01347000	2011-08-08	1460	A
USGS	01347000	2011-08-09	1260	A
USGS	01347000	2011-08-10	1420	A
USGS	01347000	2011-08-11	1910	A
USGS	01347000	2011-08-12	1730	A
USGS	01347000	2011-08-13	1110	A
USGS	01347000	2011-08-14	953	A
USGS	01347000	2011-08-15	994	A
USGS	01347000	2011-08-16	1850	A
USGS	01347000	2011-08-17	1510	A
USGS	01347000	2011-08-18	1060	A
USGS	01347000	2011-08-19	936	A
USGS	01347000	2011-08-20	1080	A
USGS	01347000	2011-08-21	1390	A
USGS	01347000	2011-08-22	1320	A
USGS	01347000	2011-08-23	990	A
USGS	01347000	2011-08-24	913	A
USGS	01347000	2011-08-25	1020	A
USGS	01347000	2011-08-26	1360	A
USGS	01347000	2011-08-27	2320	A
USGS	01347000	2011-08-28	8180	A
USGS	01347000	2011-08-29	8600	A
USGS	01347000	2011-08-30	4760	A
USGS	01347000	2011-08-31	2050	A
USGS	01347000	2011-09-01	1890	A
USGS	01347000	2011-09-02	1960	A
USGS	01347000	2011-09-03	1790	A
USGS	01347000	2011-09-04	2350	A
USGS	01347000	2011-09-05	4900	A
USGS	01347000	2011-09-06	7660	A
