# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-20 14:49:45 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03010655 Oswayo Creek at Shinglehouse, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 03010655
#            TS   parameter     statistic     Description
#        119720       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/pa/nwis/revision/?site_no=03010655&ts_ids=119720]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	119720_00060_00003	119720_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03010655	2012-01-01	272	A
USGS	03010655	2012-01-02	280	A:e
USGS	03010655	2012-01-03	265	A:e
USGS	03010655	2012-01-04	270	A:e
USGS	03010655	2012-01-05	249	A
USGS	03010655	2012-01-06	227	A
USGS	03010655	2012-01-07	206	A
USGS	03010655	2012-01-08	177	A
USGS	03010655	2012-01-09	151	A
USGS	03010655	2012-01-10	140	A
USGS	03010655	2012-01-11	127	A
USGS	03010655	2012-01-12	163	A
USGS	03010655	2012-01-13	171	A
USGS	03010655	2012-01-14	157	A
USGS	03010655	2012-01-15	161	A
USGS	03010655	2012-01-16	229	A
USGS	03010655	2012-01-17	277	A
USGS	03010655	2012-01-18	300	A
USGS	03010655	2012-01-19	290	A
USGS	03010655	2012-01-20	292	A
USGS	03010655	2012-01-21	266	A
USGS	03010655	2012-01-22	226	A
USGS	03010655	2012-01-23	213	A
USGS	03010655	2012-01-24	231	A
USGS	03010655	2012-01-25	187	A
USGS	03010655	2012-01-26	188	A
USGS	03010655	2012-01-27	385	A
USGS	03010655	2012-01-28	443	A
USGS	03010655	2012-01-29	437	A
USGS	03010655	2012-01-30	380	A
USGS	03010655	2012-01-31	330	A
USGS	03010655	2012-02-01	328	A
USGS	03010655	2012-02-02	294	A
USGS	03010655	2012-02-03	278	A
USGS	03010655	2012-02-04	267	A
USGS	03010655	2012-02-05	245	A
USGS	03010655	2012-02-06	220	A
USGS	03010655	2012-02-07	196	A
USGS	03010655	2012-02-08	173	A
USGS	03010655	2012-02-09	155	A
USGS	03010655	2012-02-10	137	A
USGS	03010655	2012-02-11	124	A:e
USGS	03010655	2012-02-12	110	A:e
USGS	03010655	2012-02-13	100	A:e
USGS	03010655	2012-02-14	93.9	A:e
USGS	03010655	2012-02-15	90.0	A:e
USGS	03010655	2012-02-16	86.3	A:e
USGS	03010655	2012-02-17	86.5	A
USGS	03010655	2012-02-18	80.4	A
USGS	03010655	2012-02-19	74.7	A
USGS	03010655	2012-02-20	66.6	A
USGS	03010655	2012-02-21	61.3	A
USGS	03010655	2012-02-22	65.8	A
USGS	03010655	2012-02-23	77.7	A
USGS	03010655	2012-02-24	88.9	A
USGS	03010655	2012-02-25	104	A
USGS	03010655	2012-02-26	94.8	A
USGS	03010655	2012-02-27	99.4	A
USGS	03010655	2012-02-28	103	A
USGS	03010655	2012-02-29	110	A
USGS	03010655	2012-03-01	343	A
USGS	03010655	2012-03-02	405	A
USGS	03010655	2012-03-03	502	A
USGS	03010655	2012-03-04	463	A
USGS	03010655	2012-03-05	403	A
USGS	03010655	2012-03-06	329	A
USGS	03010655	2012-03-07	285	A
USGS	03010655	2012-03-08	269	A
USGS	03010655	2012-03-09	343	A
USGS	03010655	2012-03-10	314	A
USGS	03010655	2012-03-11	306	A
USGS	03010655	2012-03-12	285	A
USGS	03010655	2012-03-13	268	A
USGS	03010655	2012-03-14	234	A
USGS	03010655	2012-03-15	210	A
USGS	03010655	2012-03-16	202	A
USGS	03010655	2012-03-17	181	A
USGS	03010655	2012-03-18	166	A
USGS	03010655	2012-03-19	172	A
USGS	03010655	2012-03-20	174	A
USGS	03010655	2012-03-21	162	A
USGS	03010655	2012-03-22	158	A
USGS	03010655	2012-03-23	151	A
USGS	03010655	2012-03-24	151	A
USGS	03010655	2012-03-25	151	A
USGS	03010655	2012-03-26	136	A
USGS	03010655	2012-03-27	120	A
USGS	03010655	2012-03-28	119	A
USGS	03010655	2012-03-29	114	A
USGS	03010655	2012-03-30	105	A
USGS	03010655	2012-03-31	109	A
USGS	03010655	2012-04-01	101	A
USGS	03010655	2012-04-02	99.3	A
USGS	03010655	2012-04-03	90.7	A
USGS	03010655	2012-04-04	87.8	A
USGS	03010655	2012-04-05	83.9	A
USGS	03010655	2012-04-06	79.0	A
USGS	03010655	2012-04-07	73.7	A
USGS	03010655	2012-04-08	69.9	A
USGS	03010655	2012-04-09	68.8	A
USGS	03010655	2012-04-10	64.2	A
USGS	03010655	2012-04-11	65.6	A
USGS	03010655	2012-04-12	66.5	A
USGS	03010655	2012-04-13	57.2	A
USGS	03010655	2012-04-14	53.1	A
USGS	03010655	2012-04-15	53.6	A
USGS	03010655	2012-04-16	51.3	A
USGS	03010655	2012-04-17	48.1	A
USGS	03010655	2012-04-18	45.9	A
USGS	03010655	2012-04-19	44.7	A
USGS	03010655	2012-04-20	44.6	A
USGS	03010655	2012-04-21	49.0	A
USGS	03010655	2012-04-22	59.6	A
USGS	03010655	2012-04-23	75.4	A
USGS	03010655	2012-04-24	103	A
USGS	03010655	2012-04-25	141	A
USGS	03010655	2012-04-26	241	A
USGS	03010655	2012-04-27	343	A
USGS	03010655	2012-04-28	362	A
USGS	03010655	2012-04-29	331	A
USGS	03010655	2012-04-30	286	A
USGS	03010655	2012-05-01	255	A
USGS	03010655	2012-05-02	217	A
USGS	03010655	2012-05-03	205	A
USGS	03010655	2012-05-04	182	A
USGS	03010655	2012-05-05	161	A
USGS	03010655	2012-05-06	145	A
USGS	03010655	2012-05-07	135	A
USGS	03010655	2012-05-08	202	A
USGS	03010655	2012-05-09	244	A
USGS	03010655	2012-05-10	263	A
USGS	03010655	2012-05-11	251	A
USGS	03010655	2012-05-12	220	A
USGS	03010655	2012-05-13	188	A
USGS	03010655	2012-05-14	167	A
USGS	03010655	2012-05-15	144	A
USGS	03010655	2012-05-16	122	A
USGS	03010655	2012-05-17	103	A
USGS	03010655	2012-05-18	87.9	A
USGS	03010655	2012-05-19	76.6	A
USGS	03010655	2012-05-20	65.7	A
USGS	03010655	2012-05-21	58.8	A
USGS	03010655	2012-05-22	56.9	A
USGS	03010655	2012-05-23	54.3	A
USGS	03010655	2012-05-24	47.1	A
USGS	03010655	2012-05-25	42.7	A
USGS	03010655	2012-05-26	37.8	A
USGS	03010655	2012-05-27	34.1	A
USGS	03010655	2012-05-28	32.5	A
USGS	03010655	2012-05-29	30.8	A
USGS	03010655	2012-05-30	32.5	A
USGS	03010655	2012-05-31	28.0	A
USGS	03010655	2012-06-01	29.8	A
USGS	03010655	2012-06-02	72.5	A
USGS	03010655	2012-06-03	41.2	A
USGS	03010655	2012-06-04	49.5	A
USGS	03010655	2012-06-05	39.8	A
USGS	03010655	2012-06-06	33.9	A
USGS	03010655	2012-06-07	30.4	A
